aab | arrabury airport | tanbar | brisbane
sma | vila do porto airport | vila franca do campo | azores
smf | sacramento international airport | west sacramento | los angeles
smi | samos airport | chora | athens
smk | st. michael airport |  | anchorage
smq | h. asan airport | semuda | pontianak
smr | simon bolivar international airport | cienaga | bogota
smx | santa maria public airport | orcutt | los angeles
sna | john wayne airport | irvine | los angeles
snc | general ulpiano paez airport | salinas | guayaquil
snn | shannon airport | shannon | dublin
sno | sakon nakhon airport | sakon nakhon | bangkok
snp | saint paul island airport |  | anchorage
snr | montoir airport | saint-nazaire | paris
snu | santa clara airport | santa clara | havana
snw | thandwe airport | pyay | rangoon
soc | adi sumarmo international airport | colomadu | jakarta
sof | sofia airport | sofia | sofia
sog | sogndal airport | sogndalsfjora | oslo
soj | sorkjosen airport | storslett | oslo
son | santo pekoa international airport | luganville | efate
soo | helsinge airport | soderhamn | stockholm
soq | sorong airport | sorong | jayapura
sou | southampton airport | eastleigh | london
sow | show low airport | show low | phoenix
soy | stronsay airport |  | london
spc | la palma airport | mazo | canary
spd | saidpur airport | saidpur | dhaka
spi | capital airport | springfield | chicago
spn | saipan international airport | saipan | saipan
spu | split airport | trogir | zagreb
spx | houston gulf airport | west university place | chicago
sqd | shangrao sanqingshan airport | xuri | shanghai
sqg | sorong airport | simanggang | makassar
sqj | sanming shaxian airport | langkou | shanghai
sqq | siauliai international airport | siauliai | vilnius
sqv | sequim valley airport | sequim | los angeles
sqw | skive airport |  | copenhagen
sre | juana azurduy de padilla international airport | sucre | la paz
srg | achmad yani international airport | semarang | jakarta
sri | temindung airport | samarinda | makassar
srp | stord airport | sagvag | oslo
srq | sarasota bradenton international airport | whitfield | new york
sry | dashte naz airport | surak | tehran
ssa | deputado luis eduardo magalhaes international airport | lauro de freitas | bahia
ssf | stinson municipal airport | san antonio | chicago
ssg | malabo airport | malabo | malabo
ssh | sharm el sheikh airport | sharm el-sheikh | cairo
ssj | stokka airport | solfjellsjoen | oslo
ssm | sault ste marie municipal airport | sault ste marie | detroit
ssx | samsun samair airport | samsun | istanbul
sta | stauning vestjyllands airport | ringkobing | copenhagen
stg | st. george island airport | dutch harbor | anchorage
sti | cibao international airport | licey al medio | santo domingo
stl | lambert-st. louis international airport | woodson terrace | chicago
stm | santarem-maestro wilson fonseca airport | santarem | santarem
stn | stansted airport | takeley | london
stp | st. paul downtown airport | saint paul | chicago
str | stuttgart airport | leinfelden-echterdingen | berlin
sts | sonoma county airport | windsor | los angeles
stt | cyril e. king airport | charlotte amalie | st thomas
stv | surat gujarat airport | surat | kolkata
stw | stavropol airport | moskovskoye | moscow
stx | henry e. rohlsen airport | saint croix | st thomas
sub | juanda international airport | semampirbarat | jakarta
suf | lamezia terme international airport | santa eufemia lamezia | rome
sug | surigao airport | mati | manila
suj | satu mare international airport | madaras | bucharest
suk | sakkyryr airport | tonghae | seoul
sum | sumter municipal airport | east sumter | new york
sun | friedman memorial airport | hailey | boise
sus | spirit of st. louis airport | hazelwood | chicago
suv | nausori airport | suva | fiji
suw | richard i bong airport | superior | chicago
sux | sioux gateway airport | sergeant bluff | chicago
sva | savoonga airport | lavrentiya | anchorage
svc | grant county airport | hurley | denver
svd | argyle international airport | kingstown | st vincent
svg | stavanger airport sola | sola | oslo
svj | helle airport | svolvaer | oslo
svl | savonlinna airport | savonlinna | helsinki
svo | sheremetyevo international airport | khimki | moscow
svq | seville airport |  | madrid
svu | savusavu airport |  | fiji
svx | koltsovo international airport | istok | yekaterinburg
swa | jieyang chaoshan airport |  | shanghai
swf | stewart international airport | orange lake | new york
swq | sultan muhammad kaharuddin iii airport | karangbugis | makassar
sws | swansea airport | fairwood common | london
swt | strezhevoy airport | izluchinsk | novosibirsk
swv | severo-evensk airport | evensk | karachi
sxb | strasbourg airport |  | paris
sxf | schonefeld airport | schonefeld | berlin
sxk | saumlaki olilit airport | tual | jayapura
sxm | princess juliana international airport | marigot | lower princes
sxr | srinagar international airport | soyibug | kolkata
sxz | siirt airport | civankan | istanbul
syd | sydney (kingsford smith) airport |  | sydney
sym | pu'er simao airport | simao | shanghai
syo | shonai airport | tsuruoka | tokyo
syr | hancock international airport | north syracuse | new york
sys | saskylakh airport |  | yakutsk
syx | sanya phoenix international airport |  | shanghai
syy | stornoway airport | stornoway | london
syz | shiraz international airport | shiraz | tehran
sza | soyo airport | soio | luanda
szb | sultan abdul aziz shah airport | kampung baru subang | kuala lumpur
sze | semera airport | dubti | addis ababa
szf | samsun-carsamba airport | dikbiyik | istanbul
szg | w. a. mozart salzburg airport |  | vienna
szk | skukuza airport |  | johannesburg
szt | san cristobal airport | mitziton | mexico city
szw | parchim airport | domsuhl | berlin
szx | shenzhen bao'an international airport | fuyong | shanghai
szy | olsztyn-mazury airport | michalow-reginow | warsaw
szz | goleniow airport | goleniow | warsaw
tab | a.n.r. robinson international airport | scarborough | port of spain
tac | d. z. romualdez airport | panalanoy | manila
tae | daegu international airport | daegu | seoul
tah | tanna airport | isangel | efate
tak | takamatsu airport | takamatsu-shi | tokyo
tam | tampico international airport | tampico | monterrey
tao | qingdao liuting international airport |  | shanghai
tap | tapachula international airport | tapachula | mexico city
tas | yuzhny airport | tashkent | tashkent
tat | poprad/tatry airport | svit | bratislava
tav | tau island airport | ta`u | pago pago
tay | tartu airport | ulenurme | tallinn
tbb | tuy hoa airport | tuy hoa | ho chi minh
tbg | tabubil airport |  | port moresby
tbo | tabora airport | tabora | dar es salaam
tbp | capitan fap pedro canga rodriguez airport | tumbes | lima
tbr | statesboro-bulloch county airport | statesboro | new york
tbs | tbilisi international airport | didi lilo | tbilisi
tbt | tabatinga international airport | tabatinga | manaus
tbu | fua'amotu international airport | vaini | tongatapu
tbw | tambov donskoye airport | tambov | moscow
tbx | tambelan airport | pulo batal | jakarta
tbz | tabriz airport | tabriz | tehran
tcb | treasure cay airport | cooper's town | nassau
tci | terney airport | terney | vladivostok
tcj | torembi airport |  | port moresby
tck | tinboli airport | ambunti | port moresby
tco | la florida airport | tumaco | bogota
tcq | tacna airport | tacna | lima
tcr | tuticorin airport | korampallam | kolkata
tcz | tengchong tuofeng airport | tengyue | shanghai
tdd | teniente jorge henrich arauz airport | trinidad | la paz
tdx | trat airport | laem ngop | bangkok
teb | teterboro airport | moonachie | new york
tee | cheikh larbi tebessi airport | tebessa | algiers
tef | telfer airport |  | perth
ten | tongren airport | chatian | shanghai
tet | matundo airport | tete | maputo
tev | teruel airport | cella | madrid
tez | tezpur airport | tezpur | kolkata
tff | tefe airport | tefe | manaus
tfn | tenerife north airport | la laguna | canary
tfs | tenerife south airport | san isidro | canary
tfu | chengdu tianfu international airport | jiancheng | chongqing
tfy | muhammad taufiq kiemas airport | krui | jakarta
tgc | tanjung manis airport | sarikei | kuching
tgd | podgorica airport | mojanovici | podgorica
tgg | sultan mahmud airport | kuala terengganu | kuala lumpur
tgo | tongliao airport | tongliao | shanghai
tgp | podkamennaya tunguska airport | podkamennaya tunguska | krasnoyarsk
tgr | touggourt airport | touggourt | algiers
tgt | tanga airport | tanga | dar es salaam
tgu | toncontin airport | tegucigalpa | tegucigalpa
tgz | angel albino corzo international airport | ignacio allende | mexico city
thd | bai thuong airport | thi tran tho xuan | ho chi minh
the | teresina airport | teresina | fortaleza
thl | tachilek airport | mae sai | rangoon
thn | trollhattan airport | trollhattan | stockholm
thr | mehrabad international airport | tehran | tehran
ths | sukhothai airport | si samrong | bangkok
thu | pituffik airport |  | thule
thv | york airport | valley view | new york
thx | turukhansk airport | turukhansk | krasnoyarsk
tia | tirana international airport | preze | tirane
tif | taif airport | ta'if | riyadh
tih | tikehau atoll airport |  | tahiti
tij | tijuana airport | tijuana | tijuana
tim | timika airport | mapurujaya | jayapura
tin | tindouf airport | tindouf | algiers
tip | tripoli international airport | al 'aziziyah | tripoli
tir | tirupati airport | renigunta | kolkata
tiu | timaru airport | timaru | auckland
tiv | tivat airport | tivat | podgorica
tiz | tari airport | tari | port moresby
tja | capitan oriel lea plaza airport | tarija | la paz
tjl | três lagoas airport | tres lagoas | campo grande
tjm | roshchino international airport | moskovskiy | yekaterinburg
tjq | bulutumbang airport | tanjung pandan | jakarta
tju | kulyab airport | kulob | dushanbe
tkd | takoradi airport |  | accra
tkg | radin inten ii airport | natar | jakarta
tkk | chuuk international airport | weno town | chuuk
tkq | kigoma airport | kigoma | dar es salaam
tks | tokushima awaodori airport | narutocho-mitsuishi | tokyo
tku | turku airport | turku | helsinki
tla | teller airport |  | anchorage
tlc | toluca international airport | toluca | mexico city
tlh | tallahassee international airport | tallahassee | new york
tll | tallinn airport | tallinn | tallinn
tlm | zenata airport | remchi | algiers
tln | hyeres airport |  | paris
tlq | turpan jiaohe airport | laochenglu | shanghai
tls | toulouse-blagnac airport | blagnac | paris
tlt | tuluksak airport |  | anchorage
tlv | ben gurion international airport | kefar habad | jerusalem
tly | plastun airport | plastun | vladivostok
tmc | tambolaka airport | maredakamau | makassar
tme | gabriel vargas santos airport | tame | bogota
tmf | thimarafushi airport | veymandoo | maldives
tmi | tumling tar airport |  | kathmandu
tmj | termez airport | tirmiz | samarkand
tml | tamale airport | tamale | accra
tmp | tampere-pirkkala airport | pirkkala | helsinki
tmr | aguenar - hadj bey akhamok airport | tamanrasset | algiers
tms | sao tome island airport | sao tome | sao tome
tmu | tambor airport | paquera | costa rica
tmw | tamworth airport | phillip | sydney
tmx | timimoun airport | timimoun | algiers
tna | jinan yaoqiang international airport | jinan | shanghai
tng | tangier ibn battouta airport | boukhalef | casablanca
tnh | tonghua sanyuanpu airport | hulutao | shanghai
tnj | kidjang airport | tanjungpinang | jakarta
tnn | tainan airport | tainan | taipei
tnr | antananarivo airport | antananarivo | antananarivo
tnu | newton municipal airport | newton | chicago
toa | torrance airport | torrance | los angeles
toe | tozeur airport | tozeur | tunis
tof | tomsk airport | tomsk | novokuznetsk
toi | troy municipal airport | troy | chicago
tol | toledo express airport | whitehouse | new york
tor | torrington municipal airport | torrington | denver
tos | tromso/langnes airport | tromso | oslo
toy | toyama airport | toyama-shi | tokyo
tpa | tampa international airport | egypt lake-leto | new york
tpe | taiwan taoyuan international airport | taoyuan city | taipei
tph | tonopah airport |  | los angeles
tpp | cad. fap guillermo del castillo paredes airport | tarapoto | lima
tpq | tepic airport | tepic | mazatlan
tps | trapani-birgi airport | marsala | rome
tqp | trepell airport |  | brisbane
tqq | maranggo airport | lasehao | makassar
trc | francisco sarabia international airport | torreon | monterrey
trd | trondheim airport vaernes | stjordal | oslo
tre | tiree airport | barra | london
trf | torp sandefjord airport | sandefjord | oslo
trg | tauranga city airport | tauranga | auckland
tri | tri-cities regional airport | spurgeon | new york
trk | juwata international airport | tarakan | makassar
trn | turin airport | caselle torinese | rome
tro | taree airport | cundletown | sydney
trs | trieste - friuli venezia giulia airport | ronchi dei legionari | rome
tru | trujillo airport | huanchaco | lima
trv | trivandrum international airport | thiruvananthapuram | kolkata
trw | bonriki airport | betio village | tarawa
trz | tiruchirapalli international airport | tiruchirappalli | kolkata
tsa | taipei songshan airport | taipei | taipei
tsf | treviso airport | treviso | rome
tsj | tsushima airport | busan | tokyo
tsn | tianjin binhai international airport |  | shanghai
tsr | timisoara traian vuia international airport | giarmata-vii | bucharest
tst | trang airport | trang | bangkok
tsv | townsville airport | townsville | brisbane
tta | tan tan airport | tan-tan | casablanca
tte | babullah airport | ternate | jayapura
ttj | tottori airport | tottori | tokyo
ttn | trenton-mercer airport | ewing | new york
tto | britton municipal airport | britton | chicago
ttt | taitung airport | taitung city | taipei
tuf | val de loire airport | parcay-meslay | paris
tug | tuguegarao airport | carig | manila
tui | turaif airport | turayf | riyadh
tuk | turbat airport | turbat | karachi
tul | tulsa international airport | owasso | chicago
tun | tunis-carthage international airport | ariana | tunis
tuo | taupo airport | taupo | auckland
tup | tupelo regional airport | tupelo | chicago
tus | tucson international airport | summit | phoenix
tuu | tabuk regional airport | tabuk | riyadh
tvc | cherry capital airport | traverse city | detroit
tvf | thief river falls regional airport | thief river falls | chicago
tvi | thomasville municipal airport | thomasville | new york
tvs | tangshan sannuhe airport | fengrun | shanghai
tvu | matei airport | lambasa | fiji
tvy | dawe airport | dawei | rangoon
twc | tumxuk tangwangcheng airport | aqal | shanghai
twf | magic valley regional airport | twin falls | boise
twu | tawau airport | tawau | kuching
txe | rembele airport | simpang teritit | jakarta
txf | teixeira de freitas airport | teixeira | bahia
txk | texarkana municipal airport | texarkana | chicago
txl | tegel airport | tegel | berlin
txn | huangshan tunxi international airport | yiqi | shanghai
tyc | taiyuan yaocheng airport | mengfeng | shanghai
tyd | tynda airport | tynda | yakutsk
tyf | torsby airport | torsby | stockholm
tyl | captain fap victor montes arias airport | talara | lima
tyn | taiyuan wusu international airport | xiaodian | shanghai
tyr | tyler pounds regional airport | chandler | chicago
tys | mcghee tyson airport | alcoa | new york
tzl | tuzla international airport | svojat | sarajevo
tzx | trabzon airport | trabzon | istanbul
uak | narsarsuaq airport | narsaq | godthab
uaq | san juan airport | san juan | argentina
uba | uberaba airport | uberaba | sao paulo
ubj | yamaguchi ube airport | ube | tokyo
ubn | new ulaanbaatar international airport | zuunmod | ulaanbaatar
ubp | ubon ratchathani international airport | ubon ratchathani | bangkok
ucb | ulanqab jining airport | jining | shanghai
uct | ukhta airport | sosnogorsk | moscow
udi | uberlandia-ten. cel. av. cesar bombonato airport | uberlandia | sao paulo
udr | maharana pratap airport | udaipur | kolkata
uel | quelimane airport | quelimane | maputo
ueo | kume-jima airport | naha-shi | tokyo
uet | quetta airport | kot malik | karachi
ufa | ufa international airport | avdon | yekaterinburg
ugc | urgench airport | urganch | samarkand
uhs | aleksandrovsk-sakhalinskiy airport | aleksandrovsk-sakhalinskiy | sakhalin
uib | el carano airport | quibdo | bogota
uih | phu cat airport | qui nhon | ho chi minh
uin | quincy municipal airport | payson | chicago
uio | mariscal sucre international airport | quito | guayaquil
uip | pluguffan airport | pluguffan | paris
uka | ukunda airport | gazi | nairobi
ukb | kobe airport | kobe | tokyo
uke | utkela airport | utkela | kolkata
ukk | ust-kamenogorsk airport | belusovka | almaty
ukn | waukon municipal airport | waukon | chicago
ukx | ust-kut airport | ust'-kut | irkutsk
ulh | prince abdul majeed bin abdulaziz airport | al 'ula | riyadh
ulk | lensk airport | lensk | yakutsk
uln | chinggis khaan international airport |  | ulaanbaatar
uly | ulyanovsk vostochny airport | isheyevka | samara
ume | umea airport | umea | stockholm
umz | mena intermountain municipal airport | mena | chicago
unk | unalakleet airport |  | anchorage
unn | ranong airport | ranong | bangkok
upg | sultan hasanuddin international airport | makassar | makassar
upn | licenciado y general ignacio lopez rayon airport | uruapan | mexico city
ura | uralsk airport | oral | oral
urc | urumqi diwopu international airport |  | shanghai
ure | kuressaare airport | kuressaare | tallinn
urg | ruben berta airport | uruguaiana | sao paulo
urj | uraj airport | uray | yekaterinburg
urs | kursk vostochny airport | kursk | moscow
urt | surat thani airport | phunphin | bangkok
ury | gurayat airport | al qurayyat | riyadh
usa | concord-padgett regional airport | harrisburg | new york
usc | union county airport | union | new york
ush | malvinas argentinas international airport | ushuaia | argentina
usk | usinsk airport | usinsk | moscow
usm | koh samui airport | ko samui | bangkok
usn | ulsan airport | ulsan | seoul
usr | ust-nera airport | ust-nera | ust-nera
ust | st. augustine airport | villano beach | new york
usu | busuanga airport |  | manila
uth | udon thani international airport | udon thani | bangkok
utm | tunica municipalcipal airport | tunica | chicago
utn | upington airport | upington | johannesburg
utp | utapao airport | ban chang | bangkok
utt | umtata airport | mthatha | johannesburg
uua | bugulma airport | bugul'ma | moscow
uud | ulan-ude airport | zarechnyy | irkutsk
uus | yuzhno-sakhalinsk airport | yuzhno-sakhalinsk | srednekolymsk
uve | ouvea airport | fayaoue | noumea
uvf | hewanorra airport | vieux fort | st lucia
uvi | união da vitória airport | porto uniao | sao paulo
uyn | yulin yuyang airport | yulin | shanghai
uzr | urzhar airport | urzhar | almaty
vaa | vaasa airport | ristinummi | helsinki
vag | major-brigadeiro trompowsky airport | varginha | sao paulo
vai | vanimo airport | vanimo | port moresby
vak | chevak airport |  | nome
vam | villa international airport maamigili | mahibadhoo | maldives
van | van ferit melen airport | van | istanbul
vaq | vanavara airport | vanavara | krasnoyarsk
var | varna airport | aksakovo | sofia
vas | sivas airport | sivas | istanbul
vav | lupepau'u airport | neiafu | tongatapu
vaw | vardoe airport | vuorea | oslo
vbc | mandalay chanmyathazi airport | mandalay | yangon
vbp | bokpyin airport | tha sae | rangoon
vbs | montichiari airport | vighizzolo | rome
vby | visby airport | visby | stockholm
vca | can tho airport | can tho | ho chi minh
vcc | new vacaria airport | vacaria | sao paulo
vce | venice marco polo airport | tessera | rome
vcf | valcheta airport | valcheta | argentina
vcl | chu lai international airport | nui thanh | ho chi minh
vcp | viracopos airport | indaiatuba | sao paulo
vda | ovda airport | eilat | jerusalem
vdc | vitoria da conquista airport | vitoria da conquista | bahia
vde | hierro airport | valverde | canary
vdh | dong hoi airport | kwang binh | ho chi minh
vdi | vidalia municipal airport | vidalia | new york
vdm | gobernador edgardo castello airport | viedma | argentina
vds | vadso airport | vadso | oslo
vdz | valdez municipal airport | valdez | anchorage
vel | vernal regional airport | naples | denver
veo | severo-yeniseyskiy airport |  | krasnoyarsk
ver | veracruz international airport | hacienda sotavento | mexico city
vex | tioga municipal airport | mansfield | chicago
vfa | victoria falls airport | victoria falls | harare
vga | vijayawada airport | gannavaram | kolkata
vgd | vologda airport | vologda | moscow
vgo | vigo airport | redondela | madrid
vhm | vilhelmina airport | vilhelmina | stockholm
vie | vienna international airport | fischamend dorf | vienna
vii | vinh airport | hung nguyen | ho chi minh
vij | virgin gorda airport | tortola | tortola
vil | dakhla airport | dakhla | casablanca
vin | havryshivka vinnytsia international airport | vinnytsya | kiev
vit | vitoria airport | salvatierra | madrid
vix | eurico de aguiar salles airport | vila velha | sao paulo
vkg | rach gia airport | rach gia | ho chi minh
vko | vnukovo airport | vnukovo | moscow
vkt | vorkuta airport | vorkuta | moscow
vkv | vaskovo airport | arkhangelsk | moscow
vlc | valencia airport |  | madrid
vld | valdosta regional airport | valdosta | new york
vli | bauerfield airport |  | efate
vll | valladolid airport | villanubla | madrid
vln | arturo michelena international airport | los guayos | caracas
vly | anglesey airport | valley | london
vno | vilnius international airport | naujamiestis | vilnius
vns | lal bahadur shastri international airport | baragaon | kolkata
vnt | ventspils international airport |  | riga
vnx | vilanculos airport | maxixe | maputo
vny | van nuys airport | northridge | los angeles
vog | volgograd international airport | gumrak | volgograd
voz | voronezh airport | podgornoye | moscow
vps | destin fort walton beach airport | eglin village | chicago
vpy | chimoio airport | chimoio | maputo
vqs | antonio rivera rodriguez airport | esperanza | puerto rico
vra | juan gualberto gomez airport | matanzas | havana
vrb | vero beach municipal airport | vero beach | new york
vrc | virac airport | calatagan | manila
vrl | vila real airport | vila real | lisbon
vrn | verona villafranca airport | dossobuono | rome
vrz | lavras airport | lavras | sao paulo
vsa | carlos rovirosa perez international airport | el bajio | mexico city
vse | viseu airport | viseu | lisbon
vst | vasteras/hasslo airport | vasteras | stockholm
vsv | shravasti airport | shravasti | kolkata
vte | wattay international airport | si chiang mai | vientiane
vtz | vishakhapatnam airport | gajuwaka | kolkata
vup | valledupar airport | valledupar | bogota
vus | velikij ustyug airport | velikiy ustyug | moscow
vvc | la vanguardia airport | villavicencio | bogota
vvi | viru viru international airport | la belgica | la paz
vvo | vladivostok international airport | artem | vladivostok
vvz | illizi airport | illizi | algiers
vxc | lichinga airport | lichinga | maputo
vxe | cesaria evora international airport | mindelo | cape verde
vxo | vaxjo airport | vaexjoe | stockholm
waa | wales airport |  | anchorage
wae | wadi ad dawasir airport | as sulayyil | riyadh
wag | wanganui airport | wanganui | auckland
waw | frederic chopin airport | wlochy | warsaw
wbb | stebbins airport |  | anchorage
wbm | wapenamanda airport |  | port moresby
wcd | carosue dam airport | stoneville | perth
wdh | hosea kutako international airport |  | windhoek
wds | shiyan wudangshan airport | luancheng | shanghai
wef | weifang airport | weifang | shanghai
weh | weihai international airport | dashuipo | shanghai
wei | weipa airport | weipa | brisbane
wes | weasua airport | bopolu | monrovia
wga | wagga wagga airport | forest hill | sydney
wgp | waingapu airport | mangga dua | makassar
wha | wuhu xuanzhou airport | xinfeng | shanghai
whb | eliwana airport | eliwana | perth
whk | whakatane airport | whakatane | auckland
wic | wick airport | wick | london
wil | wilson airport | nairobi | nairobi
win | winton airport | hughenden | brisbane
wjr | wajir airport | wajir | nairobi
wju | wonju airport | wonju | seoul
wkj | hokkaido airport | makubetsu | tokyo
wkl | waikoloa airport | kalaoa | honolulu
wle | miles airport | westcourt | brisbane
wlg | wellington international airport | wellington | auckland
wlk | selawik airport |  | anchorage
wlp | west angelas airport | tom price | perth
wls | wallis island airport | mata-utu | wallis
wmi | warsaw-modlin airport | zakroczym | warsaw
wmo | white mountain airport | nome | anchorage
wmt | zunyi maotai airport | daba | shanghai
wmx | wamena airport | wurigelebur | jayapura
wnh | wenshan puzhehei airport | wenshan city | shanghai
wni | matahora airport | katabu | makassar
wnn | wunnummin lake airport |  | winnipeg
wnp | naga airport | san agustin | manila
wnz | wenzhou longwan international airport | qidu | shanghai
wog | woodgreen airport |  | darwin
wre | whangarei airport | whangarei | auckland
wrg | wrangell airport |  | anchorage
wrn | windarling airport | merredin | perth
wro | wroclaw airport | smolec | warsaw
wry | westray airport | kirkwall | london
wsk | chongqing wushan airport | quchi | shanghai
wsz | westport airport | westport | auckland
wtb | toowoomba wellcamp airport | westbrook | queensland
wua | wuhai airport | wuhai | shanghai
wuh | wuhan tianhe international airport |  | shanghai
wui | murrin murrin airport | kalgoorlie | perth
wus | wuyishan airport | xingtian | shanghai
wut | xinzhou wutaishan airport | jinchang | shanghai
wux | sunan shuofang international airport | shuofang | shanghai
wvb | rooikop airport | walvis bay | windhoek
wwk | boram airport | wewak | port moresby
wxn | wanxian airport | wuqiao | shanghai
wya | whyalla airport | whyalla | adelaide
wys | yellowstone airport | west yellowstone | denver
wza | wa airport | wa | accra
xai | xinyang minggang airport | minggang | shanghai
xap | chapeco airport | chapeco | sao paulo
xbj | birjand airport | birjand | tehran
xch | christmas island airport | flying fish cove | christmas
xcn | coron airport | coron | manila
xcr | chalons vatry airport | mailly-le-camp | paris
xes | lake geneva aire estates airport | lake geneva | chicago
xfn | xiangyang airport | shuanggou | shanghai
xfw | hamburg finkenwerder airport | isernhagen farster bauerschaft | berlin
xgr | kangiqsualujjuaq airport |  | montreal
xic | xichang airport | xichang | shanghai
xil | xilinhot airport | xilin hot | shanghai
xiy | xianyang international airport | dizhang | shanghai
xjm | mangla airport | jhelum | karachi
xkh | xieng khouang airport | muang phonsavan | vientiane
xmn | xiamen gaoqi international airport | yingcun | shanghai
xnh | nasiriyah airport | an nasiriyah | baghdad
xnn | xining caojiabao airport | gaozhai | shanghai
xqp | quepos airport | quepos | costa rica
xrq | xinbarag youqi baogede airport | hulun | shanghai
xry | jerez airport |  | madrid
xsb | sir bani yas island airport |  | dubai
xuz | xuzhou guanyin airport | suicheng | shanghai
xwa | williston basin international airport | williston | toronto
yag | fort frances municipal airport | international falls | winnipeg
yak | yakutat airport |  | yakutat
yam | sault ste marie airport | sault ste marie | toronto
yao | yaounde airport | yaounde | douala
yap | yap international airport | colonia | chuuk
yax | angling lake airport |  | winnipeg
yaz | tofino airport |  | vancouver
ybc | baie-comeau airport | baie-comeau | montreal
ybg | saguenay-bagotville airport |  | montreal
ybl | campbell river airport |  | vancouver
ybp | yibin caiba airport | yibin | shanghai
ybr | brandon municipal airport | brandon | winnipeg
ybv | berens river airport |  | winnipeg
ycb | cambridge bay airport |  | cambridge bay
ycd | nanaimo airport |  | vancouver
ycg | castlegar airport | castlegar | vancouver
ycm | niagara district airport | niagara-on-the-lake | toronto
yco | kugluktuk airport |  | cambridge bay
ycu | yuncheng airport | yuncheng | shanghai
ycw | chilliwack municipalcipal airport | chilliwack | vancouver
yda | dawson city airport |  | dawson
ydc | industrial airport | drayton valley | edmonton
ydf | deer lake regional airport |  | st johns
ydt | boundary bay airport |  | vancouver
yeg | edmonton international airport | leduc | edmonton
yeh | yinchuan helanshan airport | yinchuan | shanghai
yei | yenisehir airport | hamzabey | istanbul
yev | inuvik mike zubko airport |  | inuvik
yfb | iqaluit airport |  | iqaluit
yfc | fredericton international airport | oromocto | moncton
yfo | flin flon airport |  | winnipeg
ygj | miho airport | sakaiminato | tokyo
ygk | kingston/norman rogers airport |  | toronto
ygl | la grande airport |  | montreal
ygo | gods lake narrows airport |  | winnipeg
ygp | michel-pouliot gaspe airport | gaspe | montreal
ygt | igloolik airport |  | iqaluit
ygw | kuujjuarapik airport |  | montreal
yhd | dryden regional airport |  | winnipeg
yhk | gjoa haven airport |  | cambridge bay
yhm | hamilton airport | ancaster | toronto
yhu | st. hubert airport |  | montreal
yhz | halifax stanfield international airport | cole harbour | halifax
yia | yogyakarta international airport | srandakan | jakarta
yic | yichun mingyueshan airport | hutian | shanghai
yie | arxan yiershi airport | wenquan | shanghai
yih | yichang sanxia airport | yunchi | shanghai
yin | yining airport | dadamtu | shanghai
yio | pond inlet airport |  | iqaluit
yip | willow run airport | belleville | detroit
yiv | island lake airport |  | winnipeg
yiw | yiwu airport | yiwu | shanghai
yja | jasper airport | jasper park lodge | edmonton
yka | kamloops airport | kamloops | vancouver
ykd | township airport | wingham | toronto
ykf | region of waterloo international airport | cambridge | toronto
ykg | kangirsuk airport |  | montreal
ykh | yingkou lanqi airport | qingshiling | shanghai
ykl | schefferville airport |  | montreal
yko | hakkari–yüksekova airport | yuksekova | istanbul
ykq | waskaganish airport |  | montreal
yks | yakutsk airport | markha | yakutsk
ylv | yevlakh airport | yevlakh | baku
ylw | kelowna international airport | kelowna | vancouver
ymj | moose jaw / air vice marshal c. m. mcewen airport | moose jaw | regina
ymm | fort mcmurray international airport | fort mcmurray | edmonton
ymn | makkovik airport |  | goose bay
ymt | chibougamau airport | chibougamau | montreal
ymx | mirabel international airport | mirabel | montreal
ynb | yanbu airport | yanbu` al bahr | riyadh
ynd | gatineau airport |  | toronto
yne | norway house airport |  | winnipeg
ynj | yanji chaoyangchuan airport |  | shanghai
ynp | natuashish airport |  | goose bay
yns | nemiscau airport | lebel-sur-quevillon | montreal
ynt | yantai laishan international airport | laishan | shanghai
yny | yangyang airport | sokcho | seoul
ynz | yancheng nanyang international airport | yulong | shanghai
yoj | footner lake airport |  | edmonton
yol | yola airport | jimeta | lagos
yon | yongphulla airport | trashigang | thimphu
yow | ottawa/macdonald-cartier international airport |  | toronto
ypj | aupaluk airport |  | montreal
ypr | digby island airport |  | vancouver
ypy | fort chipewyan airport |  | edmonton
yqb | quebec city jean lesage international airport | l'ancienne-lorette | montreal
yqf | red deer regional airport | penhold | edmonton
yqg | windsor international airport | windsor | toronto
yqk | kenora airport | baudette | winnipeg
yql | lethbridge airport | lethbridge | edmonton
yqm | greater moncton international airport | dieppe | moncton
yqq | comox airport | courtenay | vancouver
yqr | regina international airport | regina | regina
yqt | thunder bay international airport |  | thunder bay
yqu | grande prairie airport | grande prairie | edmonton
yqx | gander international airport | gambo | st johns
yqy | sydney airport | glace bay | glace bay
yqz | quesnel airport | quesnel | vancouver
yrb | resolute bay airport |  | resolute
yrl | red lake airport |  | winnipeg
yrt | rankin inlet airport |  | rankin inlet
ysb | sudbury airport | greater sudbury | toronto
ysj | saint john airport | saint john | moncton
ysk | sanikiluaq airport |  | iqaluit
ysm | fort smith airport | fort smith | yellowknife
yso | postville airport |  | goose bay
yta | pembroke and area airport |  | toronto
ytc | sturdee valley airport | sturdee | vancouver
ytq | tasiujuaq airport |  | montreal
yts | timmins victor m. power airport | timmins | toronto
ytw | yutian wanfang airport |  | urumqi
yty | yangzhou taizhou airport | dinggou | shanghai
ytz | toronto city centre airport | toronto | toronto
